start_ip,end_ip,join_key,city,region,region_name,country,country_name,latitude,longitude,postal_code,timezone,geoname_id,radius
80.235.151.224,80.235.151.239,80.235.0.0,Formby,ENG,England,GB,United Kingdom,53.55838,-3.06999,L37,Europe/London,2649198,10
74.199.250.16,74.199.250.23,74.199.0.0,Toronto,ON,Ontario,CA,Canada,43.70643,-79.39864,M5A,America/Toronto,6167865,50
40.142.166.208,40.142.166.213,40.142.0.0,Little Rock,AR,Arkansas,US,United States,34.7871,-92.4222,72212,America/Chicago,4119403,1000
70.63.39.36,70.63.39.39,70.63.0.0,Kettering,OH,Ohio,US,United States,39.6895,-84.16883,45429,America/New_York,4515843,10
76.118.179.224,76.118.179.237,76.118.0.0,Amherst,MA,Massachusetts,US,United States,42.36723,-72.51852,01004,America/New_York,4929022,500
190.98.141.212,190.98.141.213,190.98.0.0,Lima,LMA,Lima Province,PE,Peru,-12.04318,-77.02824,15001,America/Lima,3936456,20
62.153.189.89,62.153.189.89,62.153.0.0,Nürnberg,BY,Bavaria,DE,Germany,49.45421,11.07752,90402,Europe/Berlin,2861650,200
14.148.67.11,14.148.67.13,14.148.0.0,Shenzhen,GD,Guangdong,CN,China,22.54554,114.0683,518000,Asia/Shanghai,1795565,500
73.190.20.0,73.190.20.15,73.190.0.0,Lansing,MI,Michigan,US,United States,42.73253,-84.55553,48901,America/Detroit,4998830,20
176.201.214.16,176.201.214.23,176.201.0.0,Naples,72,Campania,IT,Italy,40.85216,14.26811,80100,Europe/Rome,3172394,1000
219.132.200.18,219.132.200.18,219.132.0.0,Shenzhen,GD,Guangdong,CN,China,22.54554,114.0683,518000,Asia/Shanghai,1795565,200
50.188.206.208,50.188.206.211,50.188.0.0,Philadelphia,PA,Pennsylvania,US,United States,39.95238,-75.16362,19099,America/New_York,4560349,1000
87.129.101.218,87.129.101.218,87.129.0.0,Hamburg,HH,Hamburg,DE,Germany,53.55073,9.99302,20038,Europe/Berlin,2911298,500
99.37.220.110,99.37.220.110,99.37.0.0,Los Angeles,CA,California,US,United States,34.05223,-118.24368,90009,America/Los_Angeles,5368361,1000
171.1.178.128,171.1.178.231,171.1.0.0,Singapore,,,SG,Singapore,1.28967,103.85007,018989,Asia/Singapore,1880252,20
146.12.170.32,146.12.170.63,146.12.0.0,Waynesboro,TN,Tennessee,US,United States,35.31952,-87.76225,38485,America/Chicago,4666247,100
182.76.127.96,182.76.127.127,182.76.0.0,Chennai,TN,Tamil Nadu,IN,India,13.08784,80.27847,600001,Asia/Kolkata,1264527,1000
66.103.249.95,66.103.249.95,66.103.0.0,Detroit,MI,Michigan,US,United States,42.33143,-83.04575,48226,America/Detroit,4990729,50
217.239.143.32,217.239.143.63,217.239.0.0,Karlsruhe,BW,Baden-Wurttemberg,DE,Germany,49.00937,8.40444,76133,Europe/Berlin,2892794,500
182.217.98.0,182.217.108.255,182.217.0.0,Seoul,11,Seoul,KR,South Korea,37.566,126.9784,03141,Asia/Seoul,1835848,1000
195.9.15.22,195.9.15.32,195.9.0.0,Moscow,MOW,Moscow,RU,Russia,55.75204,37.61781,101000,Europe/Moscow,524901,50
212.200.39.216,212.200.39.223,212.200.0.0,Aranđelovac,SE,Central Serbia,RS,Serbia,44.30694,20.56,34300,Europe/Belgrade,793111,10
209.155.234.64,209.155.234.71,209.155.0.0,Kennesaw,GA,Georgia,US,United States,34.0287,-84.6047,30144,America/New_York,4203696,1000
63.230.115.206,63.230.115.208,63.230.0.0,Boise,ID,Idaho,US,United States,43.6135,-116.20345,83707,America/Boise,5586437,1000
193.227.160.68,193.227.160.95,193.227.0.0,Beirut,BA,Beyrouth,LB,Lebanon,33.89332,35.50157,,Asia/Beirut,276781,50
156.155.120.181,156.155.120.181,156.155.0.0,Stellenbosch,WC,Western Cape,ZA,South Africa,-33.9333,18.85,7607,Africa/Johannesburg,3361025,100
49.177.181.236,49.177.181.237,49.177.0.0,Townsville,QLD,Queensland,AU,Australia,-19.26639,146.80569,4810,Australia/Brisbane,2146142,500
152.193.157.245,152.193.157.245,152.193.0.0,Atlanta,GA,Georgia,US,United States,33.749,-84.38798,30302,America/New_York,4180439,200
216.194.1.32,216.194.1.48,216.194.0.0,Dallas,TX,Texas,US,United States,32.78306,-96.80667,75201,America/Chicago,4684888,50
1.112.42.168,1.112.42.189,1.112.0.0,Tokyo,13,Tokyo,JP,Japan,35.6895,139.69171,101-8656,Asia/Tokyo,1850147,1000
194.254.113.245,194.254.113.245,194.254.0.0,Montpellier,OCC,Occitanie,FR,France,43.61093,3.87635,34000,Europe/Paris,2992166,200
103.169.189.0,103.169.189.1,103.169.0.0,Madiun,JI,East Java,ID,Indonesia,-7.6298,111.5239,63113,Asia/Jakarta,1636930,100
117.3.50.123,117.3.50.123,117.3.0.0,Ho Chi Minh City,61,Ho Chi Minh City (HCMC),VN,Vietnam,10.82302,106.62965,71606,Asia/Ho_Chi_Minh,1566083,50
