range,id,name,country,status,tech,maintainer,admin,source,whois_domain,updated,org,rdns_domain,domain,geoloc,org_address,asn,as_name,as_domain,as_type
2a01:4f8:1060:15a9::/64,HOS-647572,HOS-647572,DE,ASSIGNED,HOAC1-RIPE,RIPE-NCC-HM-MNT\NHOS-GUN,HOAC1-RIPE,ripe,hetzner.de,2025-01-25,ORG-HOA1-RIPE,,hetzner.de,,Industriestrasse 25\nD-91710\nGunzenhausen\nGERMANY,AS24940,Hetzner Online GmbH,hetzner.de,hosting
220.245.78.144/30,TPGINTERNETPTYLTD,TPG Internet Pty Ltd.,AU,ASSIGNED NON-PORTABLE,TH178-AP,MAINT-AU-TPGCOM,TH178-AP,apnic,tpg.com.au,2025-05-08,,tpg.com.au,tpg.com.au,,,AS7545,TPG Telecom Limited,tpgtelecom.com.au,isp
218.4.56.176/28,SUZHOU-CS-OVERSEAS-PIONEER-CORP,Jiangsu Changshu Pioneering Park of Overseas Scholars,CN,ASSIGNED NON-PORTABLE,HJ472-AP,MAINT-CHINANET-JS-SZ,CH446-AP,apnic,,2008-09-04,,,,,,AS4134,CHINANET-BACKBONE,chinatelecom.com.cn,isp
121.119.207.136/29,POSA690,Orange Business Service Japan,JP,,JP00235225,,JP00235225,jpnic,,2023-02-06,,,,,,AS4713,NTT Communications Corporation,ntt.com,isp
213.184.232.0/24,A1-BELARUS,A1 network,BY,ASSIGNED PA,VELC-RIPE,MNT-MDC\NRIPE-NCC-HM-MNT,VELC-RIPE,ripe,a1.by,2025-02-25,ORG-JMDC1-RIPE,,a1.by,,Internatsionalnaya str 36/2\n220030\nMINSK\nBELARUS,AS42772,Unitary enterprise A1,A1.by,isp
195.215.102.144/29,TOEMMERGAARDEN-NYKOEBING-MORS-A-S-NET,Toemmergaarden Nykoebing Mors A/S,DK,ASSIGNED PA,OT24-RIPE,RIPE-NCC-HM-MNT\NAS3292-MNT,OT24-RIPE,ripe,tdc.dk,2001-09-21,ORG-TD1-RIPE,,tdcnet.dk,,Sletvej 30\nDK-8310\nTranbjerg J\nDENMARK,AS3292,TDC Holding A/S,tdcgroup.com,isp
83.64.135.16/29,ING-LUDWIG-MEDEL-EU,Ing. Ludwig Medel e.U.,AT,ASSIGNED PA,LGI-RIPE,RIPE-NCC-HM-MNT\NAS8412-MNT,LGI-RIPE,ripe,magenta.at,2021-11-16,ORG-II1-RIPE,,magenta.at,,Rennweg 97-99\n1030\nVienna\nAUSTRIA,AS8412,T-Mobile Austria GmbH,t-mobile.at,isp
65.206.92.64/27,UU-65-206-92-64-D4,AUTO PLACE NISSAN,US,REASSIGNMENT,,,,arin,,2009-07-08,C02270856,,,,"8137 MAIN ST FL 1,bldg 1 flr1 rm heathers w1, WILLIAMSVILLE, NY, US",AS701,Verizon Business,verizonbusiness.com,isp
69.31.78.96/28,MARKLEY-NETWORK-SERVICES-GTT,Markley Network Services,US,REASSIGNMENT,,,,arin,,2024-10-25,C10998143,,markleygroup.com,,"1 Summer St, Cabinet 38 in Suite 441 on the 4th floor, Boston, MA, US",AS3257,GTT Communications Inc.,gtt.net,isp
124.35.116.16/28,E-TK0122A6,ARTERIA Networks Corp.,JP,,JP00022296,,JP00022296,jpnic,arteria-net.com,2020-12-08,,arteria-net.com,arteria-net.com,,,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp
90.180.21.0/24,NEXTEL-XDSL,XDSL NETWORK-ADSL,CZ,ASSIGNED PA,HVJI1-RIPE,RIPE-NCC-HM-MNT\NAS5610-MTN,HVJI1-RIPE,ripe,o2.cz,2009-07-01,ORG-STAN1-RIPE,,o2.cz,,Za Brumlovkou 266/2\n140 22\nPraha 4 - Michle\nCZECH REPUBLIC,AS5610,"O2 Czech Republic, a.s.",o2.cz,isp
49.12.159.40/29,HOS-157387,HOS-157387,DE,ASSIGNED PA,HOAC1-RIPE,RIPE-NCC-HM-MNT\NHOS-GUN,HOAC1-RIPE,ripe,hetzner.de,2023-08-01,ORG-HOA1-RIPE,,hetzner.de,,Industriestrasse 25\nD-91710\nGunzenhausen\nGERMANY,AS24940,Hetzner Online GmbH,hetzner.de,hosting
23.123.168.16/29,SBC-23-123-168-16-29-1310174639,KHANH DUONG10172013144625252,US,REASSIGNMENT,,,,arin,,2013-10-17,C04734907,,,,"2701 N. Central Expwy, Richardson, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
189.43.100.64/28,EMS20,Telmex do Brasil Ltda.,BR,REASSIGNED,EMBSA4,,,lacnic,embratel.com.br,2023-07-19,,,embratel.com.br,,,AS4230,CLARO S.A.,claro.com.br,isp
66.137.187.240/29,SBC066137187240030812,Docu Forms,US,REASSIGNMENT,,,,arin,,2003-08-12,C00644720,,,,"1701 Alma St., Plano, TX, US",AS7018,"AT&T Enterprises, LLC",att.com,isp
50.243.70.128/29,MANAGMTDAC,MANAGMT D.A.C,US,REASSIGNMENT,,,,arin,,2013-12-18,C04823653,,,,"1 Unavailable Street, FAIRFIELD, NJ, US",AS7922,"Comcast Cable Communications, LLC",comcast.com,isp
91.137.0.88/29,LINDNER-RECYCLINGTECH,Lindner-Recyclingtech GmbH,AT,ASSIGNED PA,TNKH-RIPE,RIPE-NCC-HM-MNT\NMNT-TNETKOM,TM9654-RIPE,ripe,l-rt.com,2019-07-08,ORG-TNG4-RIPE,,lindner.com,,Schwerborner Str. 30\n99087\nErfurt\nGERMANY,AS196714,Thueringer Netkom GmbH,netkom.de,isp
213.39.121.104/29,RETAILORS-EUROPE-B-V-GTT,Retailors Europe B.V.,NL,ASSIGNED PA,MP39089-RIPE,RIPE-NCC-HM-MNT\NAS3257-ROOT-MNT,MP39089-RIPE,ripe,fox.co.il,2024-03-12,ORG-GCI2-RIPE,,fox.co.il,,Frankfurter Strasse 227\n63263\nNeu-Isenburg\nGERMANY,AS3257,GTT Communications Inc.,gtt.net,isp
124.105.173.37,ADSL,184183985_ENTERPRISE Client,PH,ASSIGNED NON-PORTABLE,NOC36-AP,PHIX-NOC-AP,NOC36-AP,apnic,pldt.com.ph,2024-08-06,,pldt.com.ph,pldt.com.ph,,,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp
63.138.87.92/30,63-138-87-92,"ATLAS TECHNOLOGIES - SAN DIEGO, CA",US,REASSIGNMENT,,,,arin,,2014-03-24,C04938515,,,,"4250 PACIFIC HWY, SAN DIEGO, CA, US",AS7029,Windstream Communications LLC,windstream.com,isp
128.14.164.0/24,ZL-LAX-ZENWORKS-0078,ZENLA-1,US,REASSIGNMENT,ZENLA-ARIN,,ZENLA-ARIN,arin,zenlayer.com,2019-07-31,ZENLA-8,,zenlayer.com,,"21680 Gateway Center Dr.\nSuite 350\nDiamond Bar, CA 91765\nU.S. Headquarters, Los Angeles, CA, US",AS21859,Zenlayer Inc,zenlayer.com,hosting
