network,country,country_code,continent,continent_code,asn,as_name,as_domain
2a03:1280:2920::/48,Poland,PL,Europe,EU,AS197227,"Poznanska Spoldzielnia Mieszkaniowa ""Winogrady"" w Poznaniu",wtvk.pl
2405:b500:3f00:80::/64,South Korea,KR,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com
2a00:1fa1:8000:5000::/54,Russia,RU,Europe,EU,AS8359,MTS PJSC,mts.ru
2a01:c22:8e00:c620::/59,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a01:c22:7800:605e::/64,Hungary,HU,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a02:3100:5600:1da2::/64,Hungary,HU,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a11:9c84::/30,Iraq,IQ,Asia,AS,AS16509,"Amazon.com, Inc.",amazon.com
2a02:3100:3601:1800::/57,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a01:c22:9200:2e70::/61,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a01:c23:7201:6b46::/63,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2a02:26f7:e589::/48,Bolivia,BO,South America,SA,AS20940,Akamai International B.V.,akamai.com
2a02:a03f:afe2:4038::/61,Belgium,BE,Europe,EU,AS5432,Proximus NV,proximus.com
4.4.6.0/23,United States,US,North America,NA,AS3356,"Level 3 Parent, LLC",lumen.com
2a01:c22:7800:9a20::/59,Germany,DE,Europe,EU,AS6805,Telefonica Germany GmbH & Co.OHG,telefonica.de
2409:895a:3454:d000::/56,China,CN,Asia,AS,AS56040,China Mobile communications corporation,chinamobile.com
2a09:bac5:49c2:a8::/63,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2402:800:6e16:bfb0::/60,Vietnam,VN,Asia,AS,AS7552,Viettel Group,viettel.com.vn
2a09:bac5:d577:1ea::/64,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2a09:bac5:eb:2cc::/62,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
185.54.56.0/22,Poland,PL,Europe,EU,AS197697,Dariusz Klimczuk trading as DERKOM Sp. J.,derkom.pl
2405:d3c0:f008::/45,Malaysia,MY,Asia,AS,AS134809,ViewQwest Sdn. Bhd.,viewqwest.com.my
103.148.239.228,Hong Kong,HK,Asia,AS,AS132337,Axclusive,axclusive.com.sg
2a09:bac5:3b5a:137c::/64,India,IN,Asia,AS,AS13335,"Cloudflare, Inc.",cloudflare.com
139.125.0.0/16,United States,US,North America,NA,AS7018,"AT&T Services, Inc.",att.com
2a09:bac5:7e2:1c00::/57,United States,US,North America,NA,AS13335,"Cloudflare, Inc.",cloudflare.com
2408:8000:3c80::/42,China,CN,Asia,AS,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn
