network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,dma_code,geoname_id,radius,asn,as_name,as_domain,as_type,carrier_name,mcc,mnc,as_changed,geo_changed,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite,is_proxy,is_relay,is_tor,is_vpn,privacy_name
1.0.7.240/31,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,false,false,false,false,false,false,false,false,false,
1.0.7.242,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,500,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,true,false,false,false,false,false,false,false,true,
1.0.7.243,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,true,false,false,false,false,false,false,false,true,
1.0.7.244,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,true,false,false,false,false,false,false,false,true,
1.0.7.245,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,false,false,false,false,false,false,false,false,false,
1.0.7.246/31,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,false,false,false,false,false,false,false,false,false,
1.0.7.248,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,false,false,false,false,false,false,false,false,false,
1.0.7.249,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,500,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-02,false,false,false,false,false,false,false,false,false,
1.0.7.250/31,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,false,false,false,false,false,false,false,false,false,
1.0.7.252/30,Melbourne,Victoria,VIC,Australia,AU,Oceania,OC,-37.814,144.96332,Australia/Melbourne,3000,,2158177,5000,AS38803,Gtelecom Pty Ltd,gtelecom.com.au,isp,,,,2021-05-01,2026-08-23,false,false,false,false,false,false,false,false,false,
1.0.8.0/21,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.16.0/24,Gotemba,Shizuoka,22,Japan,JP,Asia,AS,35.31859,138.94343,Asia/Tokyo,412-0028,,1863528,100,AS2519,ARTERIA Networks Corporation,arteria-net.com,isp,,,,2022-11-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.17.0/24,Asagaya-minami,Tokyo,13,Japan,JP,Asia,AS,35.70206,139.63745,Asia/Tokyo,166-0000,,1865090,50,,,,,,,,,2025-06-15,false,false,false,false,false,false,false,false,false,
1.0.18.0/23,Asagaya-minami,Tokyo,13,Japan,JP,Asia,AS,35.70206,139.63745,Asia/Tokyo,166-0000,,1865090,50,,,,,,,,,2025-06-15,false,false,false,false,false,false,false,false,false,
1.0.20.0/22,Asagaya-minami,Tokyo,13,Japan,JP,Asia,AS,35.70206,139.63745,Asia/Tokyo,166-0000,,1865090,50,,,,,,,,,2025-06-15,false,false,false,false,false,false,false,false,false,
1.0.24.0/21,Asagaya-minami,Tokyo,13,Japan,JP,Asia,AS,35.70206,139.63745,Asia/Tokyo,166-0000,,1865090,50,,,,,,,,,2025-06-15,false,false,false,false,false,false,false,false,false,
1.0.32.0/24,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2024-06-29,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.33.0/24,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.34.0/23,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.36.0/22,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.40.0/21,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.48.0/21,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.56.0/22,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.60.0/23,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.62.0/24,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2023-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.63.0/24,Guangzhou,Guangdong,GD,China,CN,Asia,AS,23.11667,113.25,Asia/Shanghai,510000,,1809858,100,,,,,,,,2024-06-21,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.0/25,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.128/26,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.192/27,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.224/29,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.232/31,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.234,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,true,false,false,false,false,false,false,false,true,
1.0.64.235,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.236/30,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.64.240/28,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,,1861212,10,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-30,false,false,false,false,false,false,false,false,false,
1.0.65.0/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-06-11,false,false,false,false,false,false,false,false,false,
1.0.65.2/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2022-04-17,false,false,false,false,false,false,false,false,false,
1.0.65.4/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-06-21,false,false,false,false,false,false,false,false,false,
1.0.65.6,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-26,true,false,false,false,false,false,false,false,true,
1.0.65.7,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-26,false,false,false,false,false,false,false,false,false,
1.0.65.8/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-05,false,false,false,false,false,false,false,false,false,
1.0.65.12/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.14/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,100,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-05,false,false,false,false,false,false,false,false,false,
1.0.65.16/29,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2022-04-17,false,false,false,false,false,false,false,false,false,
1.0.65.24/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2022-04-17,false,false,false,false,false,false,false,false,false,
1.0.65.26/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-05-28,false,false,false,false,false,false,false,false,false,
1.0.65.28/31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-01-04,false,false,false,false,false,false,false,false,false,
1.0.65.30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.31,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-05-28,false,false,false,false,false,false,false,false,false,
1.0.65.32/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-05-28,false,false,false,false,false,false,false,false,false,
1.0.65.36/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-09-10,false,false,false,false,false,false,false,false,false,
1.0.65.40/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2023-10-15,false,false,false,false,false,false,false,false,false,
1.0.65.44/30,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-08-09,false,false,false,false,false,false,false,false,false,
1.0.65.48/29,Hiroshima,Hiroshima,34,Japan,JP,Asia,AS,34.4,132.45,Asia/Tokyo,730-0011,,1862415,50,AS18144,"Enecom,Inc.",enecom.co.jp,isp,,,,2021-05-01,2026-07-26,false,false,false,false,false,false,false,false,false,
