network,city,region,region_code,country,country_code,continent,continent_code,latitude,longitude,timezone,postal_code,asn,as_name,as_domain,as_type,is_anonymous,is_anycast,is_hosting,is_mobile,is_satellite
1.20.191.2/31,Chiang Kham,Phayao,56,Thailand,TH,Asia,AS,19.52331,100.3,Asia/Bangkok,56110,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.1.164.222/31,Chiang Mai,Chiang Mai,50,Thailand,TH,Asia,AS,18.79038,98.98468,Asia/Bangkok,50000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.0.171.34/31,Ban Mo,Saraburi,19,Thailand,TH,Asia,AS,14.61544,100.72731,Asia/Bangkok,18130,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.112.42.84,Urayasu,Chiba,12,Japan,JP,Asia,AS,35.65879,139.90055,Asia/Tokyo,279-0000,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.0.83.78/31,Iwakuni,Yamaguchi,35,Japan,JP,Asia,AS,34.16297,132.22,Asia/Tokyo,741-0062,AS18144,"Enecom,Inc.",enecom.co.jp,business,false,false,false,false,false
1.151.192.0/22,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.1.193.215,Ban Phan Don,Udon Thani,41,Thailand,TH,Asia,AS,17.14272,102.97261,Asia/Bangkok,41000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.179.238.48,Ban Khlong Bang Sao Thong,Samut Prakan,11,Thailand,TH,Asia,AS,13.64172,100.83272,Asia/Bangkok,10560,AS23969,TOT Public Company Limited,ntplc.co.th,isp,true,false,false,false,false
1.10.250.168/30,Hua Hin,Prachuap Khiri Khan,77,Thailand,TH,Asia,AS,12.57065,99.95876,Asia/Bangkok,77110,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.115.68.164/30,Hatsudai,Tokyo,13,Japan,JP,Asia,AS,35.67729,139.68588,Asia/Tokyo,151-0061,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.179.147.184/29,Don Mueang City,Bangkok,10,Thailand,TH,Asia,AS,13.91361,100.58972,Asia/Bangkok,10220,AS131293,TOT Public Company Limited,totidc.net,isp,false,false,false,false,false
1.122.245.224/27,Gold Coast,Queensland,QLD,Australia,AU,Oceania,OC,-28.00029,153.43088,Australia/Brisbane,4217,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.1.8.32/27,Changning,Shanghai,SH,China,CN,Asia,AS,31.21739,121.42105,Asia/Shanghai,200000,AS149511,"Yamu Technologies Co., Ltd.",yamu.com,hosting,false,false,true,false,false
1.0.155.208/30,Chumphon,Chumphon,86,Thailand,TH,Asia,AS,10.4957,99.17971,Asia/Bangkok,86140,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.120.108.128/26,Sydney,New South Wales,NSW,Australia,AU,Oceania,OC,-33.86785,151.20732,Australia/Sydney,1001,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.1.130.84/30,Kalasin,Kalasin,46,Thailand,TH,Asia,AS,16.43281,103.50658,Asia/Bangkok,46000,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.178.245.176,Madrid,Madrid,MD,Spain,ES,Europe,EU,40.4133,-3.6939,Europe/Madrid,28014,AS12479,Orange Espagne SA,orange.es,isp,false,false,false,false,false
1.2.130.112/28,Na Klang,Nong Bua Lamphu,39,Thailand,TH,Asia,AS,17.3072,102.18886,Asia/Bangkok,39170,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.159.185.183,Perth,Western Australia,WA,Australia,AU,Oceania,OC,-31.95224,115.8614,Australia/Perth,6000,AS1221,Telstra Limited,telstra.com.au,isp,true,false,false,false,false
1.121.112.144/28,Gold Coast,Queensland,QLD,Australia,AU,Oceania,OC,-28.00029,153.43088,Australia/Brisbane,4217,AS1221,Telstra Limited,telstra.com.au,isp,false,false,false,false,false
1.112.251.122,Osaka,Osaka,27,Japan,JP,Asia,AS,34.69379,135.50107,Asia/Tokyo,543-0062,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
1.0.149.94/31,Phrom Khiri,Nakhon Si Thammarat,80,Thailand,TH,Asia,AS,8.52333,99.82275,Asia/Bangkok,80250,AS23969,TOT Public Company Limited,ntplc.co.th,isp,false,false,false,false,false
1.112.59.4/30,Neyagawa,Osaka,27,Japan,JP,Asia,AS,34.76615,135.62759,Asia/Tokyo,572-0015,AS17676,SoftBank Corp.,softbank.jp,isp,false,false,false,true,false
