ip,ssid,category,name,brand,latitude,longitude
1.0.202.187,TheRoom-WiFi5,hotel,The Room Hotel & Service Apartment,,7.5448,99.6116
1.0.203.39,Tann staff,restaurant,Tannami by Tann Terrace,,7.8298,98.2951
1.0.203.154,Coral Outdoor Lounge,restaurant,The Coral Executive Lounge,,8.1083,98.306
1.0.203.204,NEW ANONA BEACHFRONT,hotel,Mango Tree On The Beach,,7.889,98.2926
1.0.203.221,PEARL HOTEL,hotel,Roof Top Restaurant @ Pearl Hotel,,7.8819,98.3926
1.0.212.84,River Bank #2,hotel,River Bank Guest House,,18.1633,97.9311
1.0.213.223,Above The Sea Hotel,hotel,Above the Sea,,18.1615,97.9295
1.0.216.14,Sino Maison,hotel,Sino Maison,,7.8862,98.2982
1.0.216.199,ParadiseKohyao,hotel,The Paradise Koh Yao,,8.1756,98.6338
1.0.218.74,TBH,bank,TMBThanachart Bank,ธนาคารทหารไทย,7.0026,100.4702
1.0.225.31,Ani_Ane_Cafe_2.4G,coffee_shop,Ani Ane Cafe,,17.4002,102.795
1.0.231.157,Toyota_sure int,car_dealer,Toyota Sure Udonthani: โตโยต้า อุดรธานี ยูสคาร์,Toyota,17.4308,102.7918
1.0.234.229,Ruamros Riverside_5G,hotel,รวมรส ริเวอร์ไซด์,,18.1868,102.1687
1.0.236.66,SuratNa,home_improvement,Surat Home Center,,17.1152,102.9961
1.0.237.20,UD@Residenc 3.2,hotel,U D Residence,,17.4038,102.8021
1.0.237.156,Pharadhevi3,hotel,Phara Devi,,17.6891,103.2568
1.0.240.156,Pasai talaythong,hotel,เกาะยาว การ์เดน บังกะโล,,8.0979,98.6182
1.0.242.26,DOMTHONG RESORT 5G,hotel,รีสอร์ทโดมทอง อ.ทุ่งสง จ.นครศรีธรรมราช,,8.1726,99.7012
1.0.244.120,SaunKOKO2_5GHz,restaurant,สวนอาหารโกโก้,,10.5337,99.2086
1.0.244.175,Kohyaoyaiseabreeze_5G,hotel,Koh Yao Yai Sea Breeze House,,8.0535,98.5982
1.0.245.2,Tiffy1,restaurant,Tiffy's Cafe and Restaurant,,8.6495,98.2527
1.0.245.8,TOT2.4G-SealineSairee,coffee_shop,Infinite Sairee Beach,,10.3979,99.2793
1.0.245.98,WIFI FL3L@SIRINAKHON,hotel,Sirinakhon Hotel,,8.4128,99.9709
1.0.245.172,The Tower Condo 39,real_estate,NOON Village Tower Office,,7.824,98.3388
1.0.246.133,Dareen Garden Home_5G,hotel,Lanta Dareen Garden Home,@HOME,7.5445,99.05
1.0.248.193,Fishtakbai_5G,pharmacy,Takbai Pharmacy,,6.2592,102.0527
1.0.252.155,RueanRamResort 2.4g,hotel,เรือนแรม รีสอร์ท,,6.4292,101.806
1.0.253.29,NKT@5G,coffee_shop,NKT Coffee,,6.9793,100.4259
1.0.254.253,@Phithan,car_dealer,บริษัท พิธานพาณิชย์,,6.867,101.2584
1.0.255.209,Tinglee_2.4GHz,grocery_store,Big C,Big C,7.0381,100.4678
1.1.152.17,UNCLE JOES,bar,Uncle Joe’s khaolak,,8.6658,98.2461
1.1.152.38,Aumpai Luxury A6,hotel,Aumpai Luxury,,9.4675,100.0444
1.1.152.100,Laguna villas,hotel,Villaguna Koh Yao Noi,,8.1054,98.6224
